pattern, strength, component1, component2
"_was_,111,,
thys,111,,
_men_,111,,
last_ten,112,,
housand_,112,,
and_yea,112,,
s_mus,112,,
.In_the_,112,,
n_the_last_,112,,
n.I,112,,
ten_t,112,,
rs_on_the_,113,,
had_be,113,,
on_the_other_hand,114,,
in_l,115,,
tions_of_the_ear,115,,
ly_got_,115,,
got_so_far,115,,
portions_of_the_,115,,
so_far_t,115,,
other_hand_on,115,,
th_one_has_,115,,
grad,115,,
_one_has_gra,115,,
s._The_,115,,
_certain_,115,,
ge_por,115,,
earth,115,,
_on_certa,115,,
dual,115,,
er_le,116,,
one_no_long,116,one_,no_long
hat_one_,116,,
no_longer_,116,,
lets_,117,,
_are,117,,
the_con,117,,
ts_the_co,117,,
_it_,117,_i,t_
ide_with_,118,,
nseque,118,,
nces_of_an_action_,118,,
n_dec,118,,
decide,118,dec,ide
an_action_but_,118,,
its_origin_,118,,
sequences_of_,118,,
but_its_origi,118,,
_with_regard_to_,119,,
_ex,120,,
great_,120,,
its_wo,120,,
vement_,120,,
achie,120,,
regard_to_its_,120,,
ieve,120,,
_ach,120,,
_a_great,120,_a_,
_and_the_,120,,
th_a_,120,,
rth,120,,
ment_as_,121,,
as_a_whol,121,,
a_whole,121,,
_E,122,,
mpor,122,,
stin,122,,
e_an,122,,
dist,122,,
_an_i,122,_an,_i
_is_so_,122,,
t_ref,123,,
_of_vi,123,,
refinement,123,,
inement_of_,123,,
premacy,124,,
cy_of_,124,,
aris,124,ar,is
the_unconscious_,124,,
_of_the_suprema,124,,
criter,124,,
_of_ar,124,,
of_cri,124,,
ion_the_,124,,
vision_and_,124,,
sion_and_of_,124,,
unconscious_effect,124,,
terion_,124,,
effect_of_the_su,124,,
n__,125,,
tocra,125,,
c_,125,,
_va,125,,
tic,125,,
ocrati,125,,
_mark,126,,
of_the_belie,126,,
e_designated_,126,,
"origi,126,,
belief,126,,
ues_and_,126,,
"_the_ma,126,,
period_which_ma,126,,
_in_",126,,
es_and_of_the_,126,,
rk_of_a_,126,,
n"_the,126,,
f_in_,126,,
_of_a_period_,126,_of_a_,period_
origin,126,,
y_be_design,126,,
which_may_b,126,,
val,126,,
ated_in_the_,127,,
in_the_nar,127,,
sense_as_the_,128,,
_sel,128,,
er_sense,128,,
the_first,128,,
nversion_of_,128,,
MORAL,128,MO,RAL
e_is_there,128,,
by_made,128,,
tempt,128,,
what_an_i,128,,
ledge_is_,128,,
stea,128,,
d_of_the_,128,,
pt_at,128,,
first_at,128,,
nste,128,,
_as_the_MO,128,,
narrow,128,,
fknow,128,,
lf,128,,
_the_consequences,128,,
_an_in,128,,
rower_,128,,
originwhat,128,,
knowledg,128,,
_at_se,128,_at,_se
intro,128,,
consequences_the_,128,,
thereby_,128,,
ad_of,128,,
_attem,128,_at,
_the_origin,128,_the_,origin
._In,128,,
made._I,128,,
RAL_one_,128,,
_one_the_,128,,
perspect,129,,
And_ass,129,,
assuredly_,129,,
ive_And_,129,,
tr,129,,
an_inversion,129,,
uredly_an_in,129,,
version_e,129,,
pective_,129,,
version_of_pers,129,,
duce,129,,
ter_long,130,,
_effe,130,,
ugg,130,,
ted_only_,130,,
_long_str,130,,
only_a,130,,
ffec,130,,
_stru,130,,
cted_,130,,
_To_,131,,
waver,131,,
nd_w,131,,
_sure_a,131,,
ggle_a,131,,
be_su,131,,
o_be,131,,
avering,131,,
re_an_,131,,
le_and_,131,,
ing_T,131,,
_mus,132,,
us_n,132,,
nou,132,,
omino,132,,
n_omi,132,,
s_ne,132,,
ew,133,,
ition_a_,133,,
stition,133,,
_superst,133,,
w_super,133,,
_a_pec,133,,
of_interpretation_,134,,
r_narrow,134,,
ness_of_interpretat,134,,
pecul,134,,
ulia,134,,
macy_precisely_thereby_,134,,
narrowness_,134,,
precisely_thereby_the_o,134,,
ed_supre,134,,
views_,134,,
