pattern, strength, component1, component2
ality_,34,alit,y_
y_or_,34,,
them._I,35,,
se_of_them,35,,
._In_t,35,,
n_the_,36,,
he_form,36,,
former_,36,,
er_case,37,,
case_they_,37,,
_they_are_,38,,
distur,38,,
are_dangerous_,38,,
dangerous_dist,38,,
_him_in,38,,
ks_in_the_,39,,
in_the_lat,39,,
bing,39,,
latter,39,,
urbi,39,,
_unsett,39,,
_books_,39,,
ng_uns,39,,
ter_case,39,,
ling_boo,39,,
_case_they_are_,40,,
ls_which_,41,,
_they_are_he,41,_they_are_,he
heral,41,,
rald,41,,
dcal,41,,
calls,41,,
_which_su,41,,
summon_,42,,
mmon_the_,42,,
the_b,42,,
br,43,,
est_to_,43,,
avest,43,,
rav,43,,
_brav,44,,
R_b,44,,
_to_TH,44,,
EI,44,,
ving,44,,
IR,44,,
THE,44,,
are_always,45,,
sm,45,,
general_re,45,,
ader_,45,,
ooks_,45,,
ery._B,45,,
ks_for_the_,45,,
r_are_a,45,,
lways_i,45,,
_ill,45,,
raver,45,rav,er
y._Boo,45,,
lls,45,,
for_the_general,45,,
_reade,45,,
mell,46,,
ing_books_,46,,
books_the_o,46,,
the_odo,46,,
elling_,46,,
y_people_,47,,
dour_of_,47,,
try_,47,tr,y_
pal,47,,
ur_of_pa,47,,
ltr,47,,
s_to_,48,,
cling,48,,
lings_,48,,
people_c,48,,
them._W,49,,
._Where_,49,,
the_po,49,,
to_them,49,,
here_the_,49,,
lecti,49,,
popu,49,,
at_and_,50,,
_into_ch,50,,
rink_and_,50,,
ce_it_is_,50,,
_eat_,50,,
pulace,50,,
ches,50,,
to_stin,50,,
eren,50,,
stink,50,,
accustome,50,,
and_d,50,,
where_they_,50,,
go_into_,50,,
nk_and_even_,50,,
k._One_should_,50,,
dri,50,,
rever,50,,
it_is_accu,50,,
es_if,50,,
chu,50,,
stomed_,50,,
rch,50,,
even_where,50,,
lace_e,50,,
._One_should_not_,50,,
_they_rev,50,,
_if_one_,51,,
_one_wis,51,,
URE,51,,
air._,51,,
_air,51,,
RE_,51,,
1._I,51,,
.__3,51,._,_3
e_P,51,,
youth,51,,
._In_our_,51,,
n_our_y,51,,
breathe,51,,
_PU,51,,
wishes,51,,
_to_breath,51,_to_,
_31,51,,
hes_to_,51,,
ful_,52,,
outhful,52,,
yea,52,,
_ye,52,,
qua,52,,
ars_,52,,
_vene,53,,
we_still,53,,
and_despi,53,,
rate_and_d,53,,
espise_,53,,
and_was_,53,,
rs_we_,53,,
_ref,53,,
still_ve,53,,
nerate_,53,,
se_without_,54,,
art_of,54,,
the_art_,54,,
NUANCE,54,,
ANCE_which_is_th,54,,
_NU,54,,
without_the_,54,,
_which_is_the_b,54,,
rightly_t,55,,
nt_t,55,,
and_we_have_,55,,
life_and_,55,,
est_g,55,,
e_best,55,,
we_have_right,55,,
ain_of_,55,,
_gain,55,,
_of_life_,55,,
ly_to_,55,,
do_h,56,,
these,56,,
loved_,56,,
o_do,56,,
_ha,56,,
penance,56,,
ard_,56,,
ance_for_,56,,
rd_pen,56,,
having,57,,
en_up,57,,
fall,57,,
_upon_,57,,
_for_havi,57,_for_,
en_and_things_,58,,
with_Y,58,,
things_with_,58,,
men_and_,58,,
Nay,59,,
and_N,59,,
ea_,59,,
Ye,59,,
a_and_,59,,
._Everything,60,,
thing_is,60,,
_so_a,60,,
ay._Every,60,,
rranged_that,61,,
arrang,61,,
busine,61,,
ed_that_the_w,61,,
_the_wor,61,,
stes_THE,62,,
orst_,62,,
_tastes,62,,
qui,62,,
st_of_all,62,,
of_all_ta,62,,
_THE_T,63,,
_for_,63,,
ST,63,,
AS,63,,
TE_,63,,
FOR,63,,
_TA,63,,
E_FO,63,,
nts_,63,,
_THE_,64,,
_UN,64,,
UNC,64,,
CON,64,,
R_THE,64,,
DIT,65,,
_is_cr,65,,
_cru,65,,
ITI,65,,
bused_,65,,
elly_b,65,,
efoo,65,,
y_bef,65,,
oole,65,,
d_and_a,65,,
ONAL,65,,
OND,65,,
ION,65,,
led_and_,65,,
uell,65,,
AL_is,65,,
s_to_in,66,s_to_,in
unti,66,,
man_lear,66,,
sed_un,66,,
ns_to_,66,,
l_a_,66,,
til,66,,
_learn,66,,
_a_little_,67,,
little_art_,67,,
"_replied_,67,,
art_into_,67,,
his_sent,68,,
prefer,68,,
fers_to_,68,,
iments_,68,,
into_his_,68,,
nts_and_,68,,
and_pre,68,,
sentime,68,,
ventur,68,,
_life._The,69,,
artist,69,,
ry_and_,69,,
_the_real_,69,,
do_the_,69,,
sts_of,69,,
s_of_life,69,,
._The_,69,,
s_to_try_,69,s_to_,try_
_and_rever,69,,
ficial_as_,69,,
s_with_the_arti,69,,
real_arti,69,,
_as_do,69,,
ions_with_the,69,,
try_conclus,69,,
reverent,69,,
gry,69,,
_artificial,69,,
conclusion,69,,
_pecu,70,,
_spirit,70,,
pirit_p,70,,
r_to_,70,,
ent_s,70,,
liar_,70,,
eculia,70,,
_e,71,,
ears_to_all,71,,
youth_app,71,,
_appears_to_,71,,
to_youth,71,,
al,72,,
y_falsified_men_and_,72,,
_it_has_sui,72,,
_pe,72,,
things_to_be_,72,,
tably_falsified_,72,,
ace_un,72,,
e_until,72,,til
suitabl,72,,
eac,72,,
ow_itself_no,72,,
til_it_has_,72,,
men_and_things_,72,men_and_,things_
itself_no_p,72,,
allow_,72,,
to_be_able_,72,,
_its_,73,,
to_vent,73,,
vent_i,73,,_i
youth_in_it,73,,
meth,73,,
ion_up,73,,
passion_,73,,
ing_and_dece,73,,
ing_fals,73,,
self_even_,73,,
fy,73,,
_even_is_so,73,,
ething_fa,73,,
lsi,73,,
_in_itself,73,,
ying_and_,73,,
upon_,73,,
ts_pass,73,,
on_them_,73,,
is_som,73,,
them_youth,73,,
ive._L,74,,
decept,74,,
of_a_,74,,
ptive,74,,
._Lat,74,,
er_on_when_,75,,
sc,75,,
ece,75,,
the_y,75,,
ater_on_,75,,
oun,75,,
_tortu,76,,
ual_dis,76,,
red_by,76,,
_continual,76,,
_by_contin,76,,
sions_,76,,
_soul_to,76,,
illu,76,,
g_soul,76,,
_disill,76,,
inally_t,76,,
usion,76,,
rtured,76,,
finall,76,,
against_itself,77,,
still_ar,77,,
iously_,77,,
ously_against_it,77,,
susp,77,,
s_sus,77,,
urn,77,,
selfstill,77,,
ns_,77,,
pic,77,,
ici,77,,
y_tur,77,,
dent_and_s,78,,
_arden,78,,
se_of_conscience,79,,
_it_up,79,,
even_in_its_,79,,
ai,79,,
conscience_how,79,,
t_and_sav,79,,
bra,79,,
remo,79,,
icion_,79,,
on_and_,79,,
age_even_in_,79,,
ids_,79,,
rse_of_,79,,
mor,79,,
abu,79,,
suspici,79,susp,ici
its_susp,79,,
avage_,79,,
_how_it_,79,,
upbr,79,,
atiently_,80,,
iently_it_,80,,
it_tear,80,,
itself_how_,80,,
impat,80,,
how_imp,80,,
ds_itself_,80,,
_how_it_re,81,,
s_itself_how_it_,81,,
es_itself_for_,81,,
_for_its_,81,,
venges_itself,81,,
tears_itself,81,,
reveng,81,,
blindi,82,,
ng_as_though_,82,,
it_had_,82,,
ind,82,,
long_self,82,,
ness_In,82,,
inding_,82,,
its_long_,82,,
_bl,82,,
_a_volunta,82,,
In_this_,82,,
en_a_,82,,
been,82,,
voluntary,82,,
selfbl,82,,
as_though_it_,82,,
ry_b,82,,
dness_,82,,
_this_trans,83,,
transition,83,,
ang,83,,
they,84,,
_one_pu,84,,
punis,84,,
_se,84,,
ition_one_,84,,
_oneself_by,85,,
ures_on,85,,
one_tort,85,,
sentiments_,85,sentime,nts_
tortures,85,,
_by_dis,85,,
ones_sentime,85,,
trust_,85,,
hes_oneself,85,,
of_ones_,85,,
_distru,85,,
nishes,85,,
nts_one_,85,nts_,one_
_ones,85,,
_enth,86,,
thu,86,,
es_en,86,,
usi,86,,
sias,86,,
with_do,87,,
m_with_,87,,
ary,87,,
dou,87,,
asm_,87,,
if_it_,88,if,_it_
conscience_to_be,88,,
were_the,88,,
ub,88,,
_a_danger,88,,
bt_,88,,
the_good_,88,,
danger_as_,88,,
_as_if,88,,
ven_the_,88,,
feels_e,88,,
s_even_,88,,
good_conscience,88,,
t_one_,88,t_,one_
_it_were_th,88,,
one_feel,88,,
_to_be_a_,88,,
How_,89,,
e_selfcon,89,,
_selfconce,89,,
alment_and_,90,,
assitude,90,,
lass,90,,
and_l,90,,
cealment_,90,,
AG,91,,
espo,91,,
INST,91,,
upon_pri,91,,
one_es,91,,
uses_upon_,91,,
nciple_the_cause_,91,,
AIN,91,,
refined_up,91,,
bove_all_one_,91,,
principle,91,,
itude_of_,91,,
above_all_,91,,
rightness_and_,91,,
_of_a_,91,,
_the_cause_A,91,,
GA,91,,
pouses_,91,,
upright,91,,
more_refined_,91,,
a_more_,91,,
ness_and_a,91,,
youth.,92,,
_"youth,92,,
.",92,,
ST_",92,,
"A,92,,
cade_la,93,,
A_de,93,,
_deca,93,,
_and_one_,94,,
__3,94,,
also_still,94,,
was_also_,94,,
one_co,94,one_,co
ds_that_all,94,,
mprehen,94,,hen
all_this_,94,,
stillyouth,94,,
ter_and_,94,,
hends_that_,94,,
de_later,94,,
compre,94,co,
_this_was_,94,,
youth__,94,,
att,95,,
hrou,95,,
2._T,95,,
depen,95,,
32,95,,
roug,95,,
_the_long,96,,
est_per,96,,
hout,96,,
out_the_,96,out,_the_
longest,96,,
_peri,96,,
_his,97,_h,is
istor,97,,
he_va,97,,
histor,97,,
prehis,97,,
odt,97,,
human_h,97,,
yone_ca,97,,
e_calls,97,,
ure,97,,
of_human,97,,
iod_,97,,
lls_it_,97,lls,_it_
ic_peri,97,,
toryon,97,,
the_pre,97,,
_it_the_,97,,
._H,97,,
od_of_,97,,
_perio,97,,
dthe_,97,,
toric,97,,
or_non,98,,
value_,98,va,lue_
lue_or_,98,,
as_in_,99,,
taken_into_,99,,
n_C,99,,
an_action_,99,,
a_at_present,99,,
origin_,99,,
_into_co,99,,
y_much_,99,,
Chin,99,,
NCES,99,,
but_prett,99,,
its_origi,99,,
on_was_,99,,
inferred,99,,
more_than_its_,99,,
nonvalue_,99,,
_any_more_than_,99,,
ation_any_,99,,
pretty_m,99,,
n_but_,99,,
value_of_,99,value_,of_
of_an_acti,99,,
_where_,99,,
UE,99,,
hina_,99,,
red_from_,99,,
action_in_itself,99,,
was_infer,99,,
the_dist,99,,
distinct,99,,
_the_action_,99,,
k_,99,,
uch_as_i,99,,
its_CON,99,,
nsi,99,,
QU,99,,
_was_not_taken,99,,
deration,99,,
CONSE,99,,
at_present_whe,99,,
SEQ,99,,
ENCE,99,,
S_the_,99,,
_from_its_,99,,
in_itself_was_not_,99,,
re_the_,99,,
inction_,100,,
dis,100,,
ion_or_,100,,
or_di,100,,
child_,101,,
sgra,101,,
d_red,101,,
ce_of_a_,101,,
grace_of,101,,
_a_chil,101,,
to_its_,102,,
the_retro,102,,
ounds_,102,,
its_pare,102,,
redoun,102,,
ds_to_,102,,
nts_the_re,102,,
parents_,102,,
operating_,103,,
trooperat,103,,
success_,104,,
_of_succes,104,,
ing_power,104,,
power_of_,104,,
fail,105,,
ure_wa,105,,
ilure,105,,
pie,105,,
or_fa,105,,
d_men_t,106,,
duced_me,106,duce,
_induce,106,,
what_in,106,,
s_what,106,,
MO,107,,
._Let_u,107,,
iod_the_,107,,
OR,107,,
_action,107,,
_or_ill,107,,
ll_of_an,107,,
o_think,107,,
us_c,107,,
RAL,107,,
s_call_this_,107,,
_of_an_act,107,,
PREM,107,,
all_this_per,107,,
period_,107,,
the_PRE,107,,
think_well,107,,
ion._Let_,107,,
_well_or_i,107,,
hen,108,,
_period_of,108,,
AL_perio,108,,
_the_imp,109,,
erat,109,,
_mank,109,,
d_of_man,109,,
imper,109,,
ind_the_,109,ind,_the_
kind,109,,
cannot_,110,,
ative_,110,,
e_with_,110,,
e?,110,,
Know_,110,,
"K,110,,
ive_",110,,
_3,111,,
then_still,111,,
_was_then,111,,
_unknow,111,,
of_me,111,,
_still_un,111,,
now_th,111,,
good_,111,,
elf",111,,
